"Id","Name","CPU","ExecutionTime","Status"
"15408","acwebbrowser","1161.09375","2023-04-24--18-43-23","Added"
"2712","acwebbrowser","163.46875","2023-04-24--18-43-23","Added"
"25160","acwebbrowser","81.578125","2023-04-24--18-43-23","Added"
"15944","explorer","40.96875","2023-04-24--18-43-23","Added"
"5988","mcshield","37.671875","2023-04-24--18-43-23","Added"
"19760","dptf_helper","27","2023-04-24--18-43-23","Added"
"16108","OneDrive","11","2023-04-24--18-43-23","Added"
"23008","msedgewebview2","8.0625","2023-04-24--18-43-23","Added"
"860","msedgewebview2","7.5625","2023-04-24--18-43-23","Added"
"14732","Widgets","7.21875","2023-04-24--18-43-23","Added"
"14544","powershell_ise","8.015625","2023-04-24--18-47-15","Added"
"14732","Widgets","7.21875","2023-04-24--18-43-23","remove"
